"","Taxa","Identifier","Publication.Date.Authorship","Origin","Study.site","LatitudeSS","LongitudeSS","Year.of.treatment","In.situ.or.Ex.situ","Treatment.group.size","Life.Stage","Intervention.category.1","Treatment.used.1","Specific.treatment.used.1","Intervention.category.2","Treatment.used.2","Specific.treatment.used.2","Duration.of.intervention","Long.term.monitoring","Habitat.or.Individual","Scalability","Efficacy.Matrix","Efficacy.of.intervention","Trend.in.efficacy.score","Adverse.Effects","Usability","Therapeutic.or.Prophylactic","Dosage","Comments.Extras","Year.of.publication","Intervention.category.1.itra","PhyloName","Genus","Family","Order","SVLMx","Microhabitat","ClutchMn","Activity","Latitude","Climate","Habitat","TaxaGroup"
"146","Dendrobates tinctorius",34,"2000 - Nichols et al ",NA,NA,"","",NA,"Ex situ",3,"Juvenile","Chemical","Antifungal","Itraconazole",NA,NA,NA,11,"N","I","Y","Prevelance matrix",4,NA,0,2,"Therapeutic","0.01%","Experiment groups survived almost 2x as long as control, and clinical signs of chytrid infection were resolved. No testing other than necropsy was performed, but the study states that the individuals were ""cleared of chytrid infections,"" using the  prevelance matrix it received a 4.  Due to the small sample size, the lack of testing, but high success reported, a 2 scored for utility. While there was no other information, it was noted that the frogs ""tolerated itraconazole"" more than the miconazole. The year of study and further testing was not provided.",2000,"Itraconazole","Dendrobates tinctorius","Dendrobates","Dendrobatidae","Anura",50,"Terrestrial",10,"Diurnal",1.7271053153,"Tropical","Terrestrial","Other"
"147","Dendrobates tinctorius",54,"2011 - Martel et al ",NA,"Ghent University, Ghent, Belgium","","",NA,"Ex situ",1,"Juvenile","Chemical","Antifungal","Voriconazole",NA,NA,NA,7,"N","I","Y","Prevelance matrix",4,NA,0,2,"Therapeutic","1.25 mg/L","Treatment was applied through spraying of the indiviudals with a Voriconazole water solution. All indiviudals tested negative for the presence of Bd which were tested using Boyle et al (2004) qPCR protocole. No furhter information about zoospore counts, date of study or any other supplementary data was provided. The prevalance matrix was used for this reason, resulting in a 4. Due to such a small sample of indiviudals, utility received a 2 and this was no scalable due to lack of information regarding when/number of tests performed.  ",2011,"Other chemical","Dendrobates tinctorius","Dendrobates","Dendrobatidae","Anura",50,"Terrestrial",10,"Diurnal",1.7271053153,"Tropical","Terrestrial","Other"
"148","Dendrobates tinctorius",52,"2011 - Martel et al ",NA,"Ghent University, Ghent, Belgium","","",NA,"Ex situ",3,"Juvenile","Chemical","Antifungal","Voriconazole",NA,NA,NA,7,"N","I","Y","Prevelance matrix",4,NA,0,2,"Therapeutic","1.25 mg/L","Treatment was applied through spraying of the indiviudals with a Voriconazole water solution. All indiviudals tested negative for the presence of Bd which were tested using Boyle et al (2004) qPCR protocole. No furhter information about zoospore counts, date of study or any other supplementary data was provided. The prevalance matrix was used for this reason, resulting in a 4. Due to such a small sample of indiviudals, utility received a 2 and this was no scalable due to lack of information regarding when/number of tests performed.  ",2011,"Other chemical","Dendrobates tinctorius","Dendrobates","Dendrobatidae","Anura",50,"Terrestrial",10,"Diurnal",1.7271053153,"Tropical","Terrestrial","Other"
"149","Dendrobates tinctorius",33,"2000 - Nichols et al ",NA,NA,"","",NA,"Ex situ",3,"Juvenile","Chemical","Antifungal","Miconazole",NA,NA,NA,8,"N","I","Y","Prevelance matrix",4,NA,1,2,"Therapeutic","0.01%","Experiment groups survived almost 2x as long as control, and clinical signs of chytrid infection were resolved. No testing other than necropsy was performed, but the study states that the individuals were ""cleared of chytrid infections,"" using the prevelance matrix it received a 4.  Due to the small sample size, the lack of testing data (zoospores), but high success reported, a 2 scored for utility. While there was no other information, it was noted that the frogs ""tolerated itraconazole"" more than the miconazole. The year of study and further testing was not provided.",2000,"Other chemical","Dendrobates tinctorius","Dendrobates","Dendrobatidae","Anura",50,"Terrestrial",10,"Diurnal",1.7271053153,"Tropical","Terrestrial","Other"
"150","Dendrobates tinctorius",158,"2020 - DiRenzo et al","Josh's Frogs, Missouri, USA","University of California Santa Barbara, California, USA","","",2017,"Ex situ",12,"Juvenile","Chemical","Antifungal","Itraconazole",NA,NA,NA,10,"N","I","Y","Infection matrix",4,NA,0,0,"Therapeutic","0.01%","No deaths occurred  and the treatment resulted in 0 Bd detected. Results were provided as zoospore count, infection matrix yielded the efficacy. ",2020,"Itraconazole","Dendrobates tinctorius","Dendrobates","Dendrobatidae","Anura",50,"Terrestrial",10,"Diurnal",1.7271053153,"Tropical","Terrestrial","Other"
"151","Dendrobates tinctorius",157,"2020 - DiRenzo et al","Josh's Frogs, Missouri, USA","University of California Santa Barbara, California, USA","","",2017,"Ex situ",23,"Juvenile","Chemical","Other","BMP-NTf2",NA,NA,NA,1,"N","I","Y","Infection matrix",0,NA,3,0,"Therapeutic","97.45 ± 3.52 μL/gram","This resulted in 15/23 of the indiviudals dying shortly after  the application of treatment. The infection load continued to increase after the treatment ended. Results were provided as zoospore count, infection matrix yielded the efficacy. ",2020,"Other chemical","Dendrobates tinctorius","Dendrobates","Dendrobatidae","Anura",50,"Terrestrial",10,"Diurnal",1.7271053153,"Tropical","Terrestrial","Other"
"152","Dryophytes versicolor",312,"2014 - Hanlon & Parris","Tennessee, USA","University of Memphis, Tennesse, USA","","",2011,"Ex situ",30,"Larvae","Chemical","Herbicide","Glyphosate",NA,NA,NA,NA,"N","H","Y","Survivability matrix",2,NA,0,1,"Therapeutic","2.3 mg/L","",2014,"Other chemical","Hyla versicolor","Dryophytes","Hylidae","Anura",60,"Bushes",1800,"Nocturnal",41.8366087871,"Temperate","Terrestrial","Hylidae"
"153","Dryophytes versicolor",313,"2014 - Hanlon & Parris","Tennessee, USA","University of Memphis, Tennesse, USA","","",2011,"Ex situ",30,"Larvae","Chemical","Insecticide","Carbaryl",NA,NA,NA,NA,"N","H","Y","Survivability matrix",1,NA,0,1,"Therapeutic","4.0 mg/L","",2014,"Other chemical","Hyla versicolor","Dryophytes","Hylidae","Anura",60,"Bushes",1800,"Nocturnal",41.8366087871,"Temperate","Terrestrial","Hylidae"
"154","Geotrypetes seraphini",262,"2015 - Rendle et al","Cameroon, Africa","Zoological Society of London, UK","","",2013,"Ex situ",4,"Adult","Chemical","Antifungal","Itraconazole",NA,NA,NA,11,"N","I","Y","Prevelance matrix",4,NA,0,0,"Therapeutic","0.01%","The initial zoospore genomic equivalents (GE) were provided, but there were no zoospore counts post-treatment. Prevelance matrix was used because the paper stated that all subjects tested negative. ",2015,"Itraconazole","Geotrypetes seraphini","Geotrypetes","Dermophiidae","Gymnophiona",400,"Fossorial",2.5,"Nocturnal",2.75661668987,"Tropical","Terrestrial","Other"
"155","Incilius nebulifer",30,"2012 - Brannelly et al","Louisiana, USA",NA,"","",NA,"Ex situ",15,"Juvenile","Chemical","Antifungal","Itraconazole",NA,NA,NA,11,"N","I","Y",NA,NA,NA,3,2,"Therapeutic","0.0001%","Treatment caused 100% mortality. Thus, the results were not interpretable. ",2012,"Itraconazole","Incilius nebulifer","Incilius","Bufonidae","Anura",130,"Bushes/trees",10010.5,"Nocturnal",28.7187827392,"Temperate","Terrestrial","Bufonidae"
"156","Incilius nebulifer",29,"2012 - Brannelly et al","Louisiana, USA",NA,"","",NA,"Ex situ",15,"Juvenile","Chemical","Antifungal","Itraconazole",NA,NA,NA,6,"N","I","Y","Infection matrix",2,"No change",2,2,"Therapeutic","0.000025%","The Bd load was not reported other than in the discussion there was a statement about it having been effective. dropped to aprox 68% survival at the very end, but maintained approx 75% survival for a while after treatment ended. Infection  matrix was used and the log transformed zoospore count was 1.17 units of measurement different (1121.7 compared to 16765.12). ",2012,"Itraconazole","Incilius nebulifer","Incilius","Bufonidae","Anura",130,"Bushes/trees",10010.5,"Nocturnal",28.7187827392,"Temperate","Terrestrial","Bufonidae"
"157","Incilius nebulifer",32,"2012 - Brannelly et al","Louisiana, USA",NA,"","",NA,"Ex situ",15,"Juvenile","Chemical","Antifungal","Itraconazole",NA,NA,NA,11,"N","I","Y","Infection matrix",4,"No change",0,2,"Therapeutic","0.000025%","The Bd load was not reported other than in the discussion there was a statement about it having been effective. Infection  matrix was used and since the paper had previously reported treatments being effective as having eliminated Bd, it was given a 4.",2012,"Itraconazole","Incilius nebulifer","Incilius","Bufonidae","Anura",130,"Bushes/trees",10010.5,"Nocturnal",28.7187827392,"Temperate","Terrestrial","Bufonidae"
"158","Incilius nebulifer",31,"2012 - Brannelly et al","Louisiana, USA",NA,"","",NA,"Ex situ",15,"Juvenile","Chemical","Antifungal","Itraconazole",NA,NA,NA,11,"N","I","Y","Infection matrix",4,"No change",3,2,"Therapeutic","0.00005%","The Bd load was not reported other than in the discussion there was a statement about it having been effective. Infection matrix was used and since the paper had previously reported treatments being effective as having eliminated Bd, it was given a 4.",2012,"Itraconazole","Incilius nebulifer","Incilius","Bufonidae","Anura",130,"Bushes/trees",10010.5,"Nocturnal",28.7187827392,"Temperate","Terrestrial","Bufonidae"
"159","Incilius nebulifer",28,"2012 - Brannelly et al","Louisiana, USA",NA,"","",NA,"Ex situ",15,"Juvenile","Chemical","Antifungal","Itraconazole",NA,NA,NA,6,"N","I","Y","Infection matrix",4,"No change",2,2,"Therapeutic","0.00005%","The Bd load was not reported other than in the discussion there was a statement about it having been effective. Infection  matrix was used and since the paper had previously reported treatments being effective as having eliminated Bd, it was given a 4.  Survivability dropped to aprox 68% survival after treatment ended. ",2012,"Itraconazole","Incilius nebulifer","Incilius","Bufonidae","Anura",130,"Bushes/trees",10010.5,"Nocturnal",28.7187827392,"Temperate","Terrestrial","Bufonidae"
"160","Incilius nebulifer",27,"2012 - Brannelly et al","Louisiana, USA",NA,"","",NA,"Ex situ",15,"Juvenile","Chemical","Antifungal","Itraconazole",NA,NA,NA,6,"N","I","Y","Infection matrix",4,"No change",3,2,"Therapeutic","0.0001%","The Bd load was not reported other than in the discussion there was a statement about it having been effective. Infection  matrix was used and since the paper had previously reported treatments being effective as having eliminated Bd, it was given a 4. ",2012,"Itraconazole","Incilius nebulifer","Incilius","Bufonidae","Anura",130,"Bushes/trees",10010.5,"Nocturnal",28.7187827392,"Temperate","Terrestrial","Bufonidae"
"161","Leiopelma archeyi",36,"2009 - Bishop et al","North Island, New Zeland","University of Otago, New Zeland","","",2006,"Ex situ",4,"Adult","Chemical","Antibiotic","Chloramphenicol",NA,NA,NA,5,"N","H","Y",NA,NA,NA,0,0,"Therapeutic","10 mg l -1","""The lack of positive-tested frogs, apart from one, in test and control groups makes the trial void to assess efficacy""",2009,"Other chemical","Leiopelma archeyi","Leiopelma","Leiopelmatidae","Anura",38,"terrestrial",9.5,"Nocturnal",-37.2830310948,"Temperate","Terrestrial","Other"
"162","Leiopelma archeyi",37,"2009 - Bishop et al","North Island, New Zeland","University of Otago, New Zeland","","",2006,"Ex situ",4,"Adult","Chemical","Antibiotic","Chloramphenicol",NA,NA,NA,5,"N","I","Y",NA,NA,NA,0,0,"Therapeutic","5 mg","""The lack of positive-tested frogs, apart from one, in test and control groups makes the trial void to assess efficacy""",2009,"Other chemical","Leiopelma archeyi","Leiopelma","Leiopelmatidae","Anura",38,"terrestrial",9.5,"Nocturnal",-37.2830310948,"Temperate","Terrestrial","Other"
"163","Lepidobatrachus laevis",112,"2011 - Tamukai et al ",NA,NA,"","",NA,"Ex situ",4,"Adult","Chemical","Antifungal","Itraconazole",NA,NA,NA,7,"N","I","Y","Infection matrix",4,NA,0,1,"Therapeutic","0.01%","Due to small test group size, this effected the utility score. The study stated that no sporagia were found on the subjects or in their habitat after the treatment, infection matrix. ",2011,"Itraconazole","Lepidobatrachus laevis","Lepidobatrachus","Ceratophryidae","Anura",120.5,"Semi-aquatic",2539,"Nocturnal",-23.7447714095,"Temperate","Aquatic","Other"
"164","Leptobrachium nigrops",193,"2010 - Bowerman et al",NA,NA,"","",NA,"Ex situ",7,"Juvenile","Chemical","Antifungal","Terbinafine hydrochloride","Chemical","Other","Ethanol",5,"N","I","Y","Prevelance matrix",0,NA,0,2,"Therapeutic","0.0005%","This paper did not provide any zoospore or prevelance data other than stating that the infections had not been cleared from the groups treated. Prevelance matrix was used based on the table with results, but since no additional information was provided on whether all subjects cleared the infection nor the timelines, this received a 2 for utility.",2010,"Other chemical","Leptobrachium nigrops","Leptobrachium","Megophryidae","Anura",50,"Semi-aquatic",0,NA,2.53130696751,"Tropical","Aquatic","Other"
"165","Leptobrachium nigrops",192,"2010 - Bowerman et al",NA,NA,"","",NA,"Ex situ",7,"Juvenile","Chemical","Antifungal","Terbinafine hydrochloride","Chemical","Other","Ethanol",5,"N","I","Y","Prevelance matrix",4,NA,0,2,"Therapeutic","0.005%","This paper did not provide any zoospore or prevelance data other than stating that the infections had been cleared from the groups treated. Prevelance matrix was used based on the table with results, but since no additional information was provided on whether all subjects cleared the infection nor the timelines, this received a 2 for utility.",2010,"Other chemical","Leptobrachium nigrops","Leptobrachium","Megophryidae","Anura",50,"Semi-aquatic",0,NA,2.53130696751,"Tropical","Aquatic","Other"
"166","Leptodactylus fallax",1,"2016 - Hudson et al ","Monserrat, UK","Fairy Walk, Saint Georges, Monserrat, UK","16°44'54""N","62°10'12""W",2009,"In situ",80,"Adult","Chemical","Antifungal","Itraconazole",NA,NA,NA,105,"N","I","N","Infection matrix",2,NA,0,1,"Therapeutic","0.0001%","The paper stated that once the treatment ended, the reduction of infection returned to the same levels as control. Treatment ended after 15 weeks and observation continued for 9 more weeks (less than 6 months). This implied that without continuous application, this is not an effective treatment longterm treatment, and the capture-recapture rate was approx only 1 treatment application/week/amphibian, which does not seem sustainable. The infection intensity matrix was used to calculate efficacy, and the difference between Log10 transformed zoospore counts was 1.11.  There were deaths of 28% of the intervention population from the time that the intervention was applied to when the study ended, but there was no direct corralation to the treatment. There were deaths between 18-21% in the control groups.",2016,"Itraconazole","Leptodactylus fallax","Leptodactylus","Leptodactylidae","Anura",210,"Terrestrial",34,"Day/Night",15.4332043003,"Tropical","Terrestrial","Other"
"167","Leptodactylus pentadactylus",115,"2011 - Tamukai et al ",NA,NA,"","",NA,"Ex situ",1,"Adult","Chemical","Antifungal","Itraconazole",NA,NA,NA,7,"N","I","Y","Infection matrix",4,NA,0,1,"Therapeutic","0.01%","Due to small test group size, this effected the utility score. The study stated that no sporagia were found on the subjects or in their habitat after the treatment, infection matrix. ",2011,"Itraconazole","Leptodactylus pentadactylus","Leptodactylus","Leptodactylidae","Anura",195,"Semi-aquatic",900.5,"Nocturnal",-5.48973896365,"Tropical","Aquatic","Other"
"168","Limnodynastes peronii",75,"2012 - Woodhams et al ","Tasmania","Newtown Laboratories, Tasmania","","",2009,"Ex situ",6,"Metamorph","Chemical","Antifungal","Itraconazole",NA,NA,NA,3,"N","I","Y",NA,NA,NA,3,0,"Therapeutic","100 mg l−1","No results were obtained due to hightoxcisity of treatment. ",2012,"Itraconazole","Limnodynastes peronii","Limnodynastes","Limnodynastidae","Anura",73,"Terrestrial",1153.5,"Day/Night",-29.5722292001,"Temperate","Terrestrial","Other"
"169","Limnodynastes peronii",136,"2015 - Stockwell et al (a)",NA,"University of Newcastle, Australia","","",NA,"Ex situ",15,"Larvae","Habitat","Drying","Drying",NA,NA,NA,35,"N","H","N","Prevelance matrix",0,NA,0,3,"Prophylactic","Slighty dry","Difficult to assess success because there were no presented results in either proportion, survivability of zoospore count. We were only infomred ""All tadpoles in the treatement tubs were positive for infection. No significant effect of pond drying on infection load was detected
(χ2 = 3.11, df = 2, P = 0.21)."" Thus, prevelance matrix was used. ",2015,"Habitat","Limnodynastes peronii","Limnodynastes","Limnodynastidae","Anura",73,"Terrestrial",1153.5,"Day/Night",-29.5722292001,"Temperate","Terrestrial","Other"
"170","Limnodynastes peronii",133,"2015 - Stockwell et al (a)",NA,"University of Newcastle, Australia","","",NA,"Ex situ",15,"Larvae","Chemical","Sodium","Sodium chloride",NA,NA,NA,45,"N","H","N","Infection matrix",2,NA,0,2,"Therapeutic","5 ppt","Difficult to assess success because results were provided in a figure with GE count, not averaged for the dosage trial nor log transformed. No supplementary data could be found. The resiults were estimated and transformed and with the infection matrix, it received a 1. Beacuse of the estimated results it received a 2 for utility. ",2015,"Other chemical","Limnodynastes peronii","Limnodynastes","Limnodynastidae","Anura",73,"Terrestrial",1153.5,"Day/Night",-29.5722292001,"Temperate","Terrestrial","Other"
"171","Limnodynastes peronii",129,"2015 - Stockwell et al (a)",NA,"University of Newcastle, Australia","","",NA,"Ex situ",15,"Larvae","Chemical","Sodium","Sodium chloride",NA,NA,NA,45,"N","H","N","Infection matrix",1,NA,0,2,"Therapeutic","1 ppt","Difficult to assess success because results were provided in a figure with GE count, not averaged for the dosage trial nor log transformed. No supplementary data could be found. The resiults were estimated and transformed and with the infection matrix, it received a 1. Beacuse of the estimated results it received a 2 for utility. ",2015,"Other chemical","Limnodynastes peronii","Limnodynastes","Limnodynastidae","Anura",73,"Terrestrial",1153.5,"Day/Night",-29.5722292001,"Temperate","Terrestrial","Other"
"172","Limnodynastes peronii",132,"2015 - Stockwell et al (a)",NA,"University of Newcastle, Australia","","",NA,"Ex situ",15,"Larvae","Chemical","Sodium","Sodium chloride",NA,NA,NA,45,"N","H","N","Infection matrix",2,NA,0,2,"Therapeutic","4 ppt","Difficult to assess success because results were provided in a figure with GE count, not averaged for the dosage trial nor log transformed. No supplementary data could be found. The resiults were estimated and transformed and with the infection matrix, it received a 1. Beacuse of the estimated results it received a 2 for utility. ",2015,"Other chemical","Limnodynastes peronii","Limnodynastes","Limnodynastidae","Anura",73,"Terrestrial",1153.5,"Day/Night",-29.5722292001,"Temperate","Terrestrial","Other"
"173","Limnodynastes peronii",135,"2015 - Stockwell et al (a)",NA,"University of Newcastle, Australia","","",NA,"Ex situ",15,"Larvae","Habitat","Drying","Drying",NA,NA,NA,35,"N","H","N","Prevelance matrix",0,NA,0,3,"Prophylactic","Moderately dry","Difficult to assess success because there were no presented results in either proportion, survivability of zoospore count. We were only infomred ""All tadpoles in the treatement tubs were positive for infection. No significant effect of pond drying on infection load was detected
(χ2 = 3.11, df = 2, P = 0.21)."" Thus, prevelance matrix was used. ",2015,"Habitat","Limnodynastes peronii","Limnodynastes","Limnodynastidae","Anura",73,"Terrestrial",1153.5,"Day/Night",-29.5722292001,"Temperate","Terrestrial","Other"
"174","Limnodynastes peronii",131,"2015 - Stockwell et al (a)",NA,"University of Newcastle, Australia","","",NA,"Ex situ",15,"Larvae","Chemical","Sodium","Sodium chloride",NA,NA,NA,45,"N","H","N","Infection matrix",2,NA,0,2,"Therapeutic","3 ppt","Difficult to assess success because results were provided in a figure with GE count, not averaged for the dosage trial nor log transformed. No supplementary data could be found. The resiults were estimated and transformed and with the infection matrix, it received a 1. Beacuse of the estimated results it received a 2 for utility. ",2015,"Other chemical","Limnodynastes peronii","Limnodynastes","Limnodynastidae","Anura",73,"Terrestrial",1153.5,"Day/Night",-29.5722292001,"Temperate","Terrestrial","Other"
"175","Limnodynastes peronii",130,"2015 - Stockwell et al (a)",NA,"University of Newcastle, Australia","","",NA,"Ex situ",15,"Larvae","Chemical","Sodium","Sodium chloride",NA,NA,NA,45,"N","H","N","Infection matrix",2,NA,0,2,"Therapeutic","2 ppt","Difficult to assess success because results were provided in a figure with GE count, not averaged for the dosage trial nor log transformed. No supplementary data could be found. The resiults were estimated and transformed and with the infection matrix, it received a 1. Beacuse of the estimated results it received a 2 for utility. ",2015,"Other chemical","Limnodynastes peronii","Limnodynastes","Limnodynastidae","Anura",73,"Terrestrial",1153.5,"Day/Night",-29.5722292001,"Temperate","Terrestrial","Other"
"176","Limnodynastes peronii",134,"2015 - Stockwell et al (a)",NA,"University of Newcastle, Australia","","",NA,"Ex situ",15,"Larvae","Habitat","Drying","Drying",NA,NA,NA,35,"N","H","N","Prevelance matrix",0,NA,0,3,"Prophylactic","Completely dry","Difficult to assess success because there were no presented results in either proportion, survivability of zoospore count. We were only infomred ""All tadpoles in the treatement tubs were positive for infection. No significant effect of pond drying on infection load was detected. 
(χ2 = 3.11, df = 2, P = 0.21)."" Thus, prevelance matrix was used. ",2015,"Habitat","Limnodynastes peronii","Limnodynastes","Limnodynastidae","Anura",73,"Terrestrial",1153.5,"Day/Night",-29.5722292001,"Temperate","Terrestrial","Other"
"177","Lithobates catesbeianus",20,"2011- Chatfield & Richards-Zawacki","Georgia and Louisiana, USA",NA,"","",2010,"Ex situ",12,"Adult","Climate","Temperature","Increased temperature",NA,NA,NA,10,"N","H","N","Prevelance matrix",4,NA,0,1,"Therapeutic","30°C","Life stage was not specified in paper, adult was assumed. All individuals tested negative after observation period, receiving a 4 with the prevelance matrix. While the study was effective in having individuals test negative, the method of heating was from an artificial source making it difficult to scale up this intervention. The duration of intervention success was 6 days, which was the number of days between ceasing treatment and testing since no further obsevations or tests were conducted. ",2011,"Climate","Rana catesbeiana","Lithobates","Ranidae","Anura",203,"Semi-aquatic",24400,"Day/Night",36.8761090626,"Temperate","Aquatic","Ranidae"
"178","Lithobates catesbeianus",185,"2010 - Bowerman et al","Deschutes County, Oregon, USA",NA,"","",NA,"Ex situ",14,"Juvenile","Chemical","Antifungal","Terbinafine hydrochloride","Chemical","Other","Ethanol",5,"N","I","Y","Prevelance matrix",4,NA,0,2,"Therapeutic","0.01%","This paper did not provide any zoospore or prevelance data other than stating that the infections had been cleared from the groups treated. Prevelance matrix was used based on the table with results, but since no additional information was provided on whether all subjects cleared the infection nor the timelines, this received a 2 for utility.",2010,"Other chemical","Rana catesbeiana","Lithobates","Ranidae","Anura",203,"Semi-aquatic",24400,"Day/Night",36.8761090626,"Temperate","Aquatic","Ranidae"
"179","Lithobates catesbeianus",186,"2010 - Bowerman et al","Deschutes County, Oregon, USA",NA,"","",NA,"Ex situ",18,"Juvenile","Chemical","Antifungal","Terbinafine hydrochloride","Chemical","Other","Ethanol",6,"N","I","Y","Prevelance matrix",4,NA,0,2,"Therapeutic","0.01%","This group was treated for 6 days (1,2,5,6,8,10) over the course of 10 days. This paper did not provide any zoospore or prevelance data other than stating that the infections had been cleared from the groups treated. Prevelance matrix was used based on the table with results, but since no additional information was provided on whether all subjects cleared the infection nor the timelines, this received a 2 for utility.",2010,"Other chemical","Rana catesbeiana","Lithobates","Ranidae","Anura",203,"Semi-aquatic",24400,"Day/Night",36.8761090626,"Temperate","Aquatic","Ranidae"
"180","Lithobates catesbeianus",187,"2010 - Bowerman et al","Deschutes County, Oregon, USA",NA,"","",NA,"Ex situ",6,"Juvenile","Chemical","Antifungal","Terbinafine hydrochloride","Chemical","Other","Ethanol",10,"N","B","Y","Prevelance matrix",4,NA,0,2,"Therapeutic","0.005% and 0.0005%","This experimental set up occurred with the same setup as #186, but where as those subjects were treated on days 1, 2, 5, 6, 8 and 10 only, this group was treated on those days with 0.005% and on days 3, 4, 7, and 9, were treated with the 0.0005% dosage. TThis paper did not provide any zoospore or prevelance data other than stating that the infections had been cleared from the groups treated. Prevelance matrix was used based on the table with results, but since no additional information was provided on whether all subjects cleared the infection nor the timelines, this received a 2 for utility.",2010,"Other chemical","Rana catesbeiana","Lithobates","Ranidae","Anura",203,"Semi-aquatic",24400,"Day/Night",36.8761090626,"Temperate","Aquatic","Ranidae"
"181","Lithobates chiricahuensis",320,"2021 - Heuring et al","Arizona, USA","Pheonix Zoo, Arizona, USA","","",2015,"Ex situ",54,"Larvae","Climate","Temperature","Increased temperature",NA,NA,NA,15,"N","H","N","Prevelance matrix",4,NA,0,2,"Therapeutic","31.7–32.2°C for six days followed by 29.4°C for nine days","This study did not have a control group. Only a few sbjects were tested for Bd prior to the treatment, and it was assumed the group was Bd positive. A few subjects were tested and tested negative at the end of the study, thus it was stated that the intervention was successful. ",2021,"Climate","Rana chiricahuensis","Lithobates","Ranidae","Anura",137,"Semi-aquatic",892.5,"Nocturnal",31.2359797361,"Temperate","Aquatic","Ranidae"
"182","Lithobates clamitans",174,"2013 - Edge et al","New Brunswick, Canada","University of New Brunswick, Canada","","",2010,"Ex situ",NA,"Juvenile","Chemical","Herbicide","Glyphosate",NA,NA,NA,4,"N","I","Y","Prevelance matrix",0,NA,0,2,"Therapeutic","4.32 kg a.e./ha","The experimental set up was not very concice. The data regarding the effects of the herbicide on Bd was not the only focus on the study, thus the results necessary for this paper were not easily extracted. Prevelance matrix was assessed from the figure, and resulted in higher Bd in the test groups. ",2013,"Other chemical","Rana clamitans","Lithobates","Ranidae","Anura",105,"Semi-aquatic",3632.5,"Day/Night",40.3995420382,"Temperate","Aquatic","Ranidae"
"183","Lithobates clamitans",173,"2013 - Edge et al","New Brunswick, Canada","University of New Brunswick, Canada","","",2010,"Ex situ",NA,"Juvenile","Chemical","Herbicide","Glyphosate",NA,NA,NA,4,"N","I","Y","Prevelance matrix",0,NA,0,2,"Therapeutic","2.16 kg a.e./ha","The experimental set up was not very concice. The data regarding the effects of the herbicide on Bd was not the only focus on the study, thus the results necessary for this paper were not easily extracted. Prevelance matrix was assessed from the figure, and resulted in higher Bd in the test groups. ",2013,"Other chemical","Rana clamitans","Lithobates","Ranidae","Anura",105,"Semi-aquatic",3632.5,"Day/Night",40.3995420382,"Temperate","Aquatic","Ranidae"
"184","Lithobates onca",14,"2021 - Waddle et al ","Colorado, USA","University of Nevada, Nevada, USA","","",NA,"Ex situ",12,"Juvenile","Bioaugmentation","Live pathogen exposure","Live pathogen exposure","Chemical","Antifungal","Itraconazole",13,"N","I","Y","Infection matrix",3,NA,0,1,"Prophylactic",NA,"The study examined the effects of infecting, clearing and re-infecting subjects. Different Bd isolates were used to infect and re-infect. Infection intensity, survivability and number of subjects cleared were reported.  The infection  matrix was used, and between weeks 5 and 7, the maximum difference between the infection intensity was approximately 3 units, and lasted approximately two week. infection intensity was only observed a total of 9 weeks. The survivabilty observed for 20 weeks maintained approximately 90% survival. Because of the high precentage of survival, and for maintaining it, this study received a 3 for effectivness for 140 days. ",2021,"Bioaugmentation","Rana onca","Lithobates","Ranidae","Anura",89,"Semi-aquatic",225,NA,36.8275137595,"Temperate","Aquatic","Ranidae"
"185","Lithobates onca",12,"2021 - Waddle et al ","Colorado, USA","University of Nevada, Nevada, USA","","",NA,"Ex situ",12,"Juvenile","Bioaugmentation","Inoculation","Hyporvirulent inoculation",NA,NA,NA,35,"N","I","N","Infection matrix",3,NA,0,1,"Prophylactic","Section Line Lake (SLL) Bd strain","The date of study was not in the paper, and the location of half of the R. onca were from ""Northshore Springs Complex"" somewhere in the American West. The intervention day (35) were that amount of time the challenged group was housed with the first group of inoculated frogs. The monitored days were the amount of time post-challenge Bd strain introduction (weeks 1r-12r). After the 12 weeks of observation, the survivability of the experimental group was approximtaley 72% and the difference between infection intensity was approximatley 2.5 units of difference between the control and challenged group. The infection  matrix was used. While the survivability dropped a bit between weeks 7 and 12, the infection intensity was fairly stable after week 2 and did not increase after it stabilized so the duration of success was deemed to be the entirity of the observation period (84 days). ",2021,"Bioaugmentation","Rana onca","Lithobates","Ranidae","Anura",89,"Semi-aquatic",225,NA,36.8275137595,"Temperate","Aquatic","Ranidae"
"186","Lithobates onca",13,"2021 - Waddle et al ","Colorado, USA","University of Nevada, Nevada, USA","","",NA,"Ex situ",12,"Juvenile","Bioaugmentation","Live pathogen exposure","Live pathogen exposure","Chemical","Antifungal","Itraconazole",13,"N","I","Y","Infection matrix",2,NA,0,1,"Prophylactic",NA,"The study examined the effects of infecting, clearing and re-infecting subjects. The same Bd isolate was used to infect and re-infect. Infection intensity, survivability and number of subjects cleared were reported. The infection  matrix was used, and at weeks 5 and 6 post re-infection, the maximum difference between the infection intensity was approximately 1.5 units, and lasted approximately one week. infection intensity was only observed a total of 9 weeks. The survivabilty observed for 20 weeks maintained approximately 90% survival. Because of the high precentage of survival, and for maintaining it, this study received a 3 for effectivness for 140 days. ",2021,"Bioaugmentation","Rana onca","Lithobates","Ranidae","Anura",89,"Semi-aquatic",225,NA,36.8275137595,"Temperate","Aquatic","Ranidae"
